"ID","METEROLOGICAL_PROVINCE","MONTH","CLIMATE","VALUE","UNIT","YEAR"
22,"Eastern Bengal And Assam","January","Temperature",65.9,"ºF",1907
2,"Bengal","January","Temperature",66.7,"ºF",1907
4,"United Province Of Agra And Oudh","January","Temperature",62.3,"ºF",1907
5,"Punjab","January","Temperature",59,"ºF",1907
17,"North West Frontier Province","January","Temperature",57.3,"ºF",1907
6,"Sindh","January","Temperature",67,"ºF",1907
7,"Rajputana Agency","January","Temperature",65,"ºF",1907
8,"Bombay Presidency","January","Temperature",72.7,"ºF",1907
9,"Central India Agency","January","Temperature",63.9,"ºF",1907
10,"Central Province And Berar","January","Temperature",67.7,"ºF",1907
11,"Hyderabad","January","Temperature",72.4,"ºF",1907
12,"Mysore","January","Temperature",70.5,"ºF",1907
13,"Madras Presidency","January","Temperature",76.3,"ºF",1907
14,"Lower Burma","January","Temperature",76.2,"ºF",1907
15,"Upper Burma","January","Temperature",68.9,"ºF",1907
16,"Jammu And Kashmir","January","Temperature",30.3,"ºF",1907
18,"Baluchistan Agency","January","Temperature",47.1,"ºF",1907
22,"Eastern Bengal And Assam","January","Rainfall",1.24,"in",1907
2,"Bengal","January","Rainfall",0.04,"in",1907
4,"United Province Of Agra And Oudh","January","Rainfall",0.43,"in",1907
5,"Punjab","January","Rainfall",0.9,"in",1907
17,"North West Frontier Province","January","Rainfall",1.59,"in",1907
6,"Sindh","January","Rainfall",0.01,"in",1907
7,"Rajputana Agency","January","Rainfall",0.28,"in",1907
8,"Bombay Presidency","January","Rainfall",0.03,"in",1907
9,"Central India Agency","January","Rainfall",0.17,"in",1907
10,"Central Province And Berar","January","Rainfall",0.17,"in",1907
11,"Hyderabad","January","Rainfall",0.04,"in",1907
12,"Mysore","January","Rainfall",0.19,"in",1907
13,"Madras Presidency","January","Rainfall",0.19,"in",1907
14,"Lower Burma","January","Rainfall",0.35,"in",1907
15,"Upper Burma","January","Rainfall",0.38,"in",1907
16,"Jammu And Kashmir","January","Rainfall",2.94,"in",1907
18,"Baluchistan Agency","January","Rainfall",0.01,"in",1907
22,"Eastern Bengal And Assam","February","Temperature",67,"ºF",1907
2,"Bengal","February","Temperature",69,"ºF",1907
4,"United Province Of Agra And Oudh","February","Temperature",62.1,"ºF",1907
5,"Punjab","February","Temperature",57,"ºF",1907
17,"North West Frontier Province","February","Temperature",54.4,"ºF",1907
6,"Sindh","February","Temperature",64.6,"ºF",1907
7,"Rajputana Agency","February","Temperature",64.1,"ºF",1907
8,"Bombay Presidency","February","Temperature",74.1,"ºF",1907
9,"Central India Agency","February","Temperature",65.6,"ºF",1907
10,"Central Province And Berar","February","Temperature",70.7,"ºF",1907
11,"Hyderabad","February","Temperature",77.9,"ºF",1907
12,"Mysore","February","Temperature",75.3,"ºF",1907
13,"Madras Presidency","February","Temperature",79.4,"ºF",1907
14,"Lower Burma","February","Temperature",78.5,"ºF",1907
15,"Upper Burma","February","Temperature",72.1,"ºF",1907
16,"Jammu And Kashmir","February","Temperature",26.7,"ºF",1907
18,"Baluchistan Agency","February","Temperature",43.4,"ºF",1907
22,"Eastern Bengal And Assam","February","Rainfall",1.01,"in",1907
2,"Bengal","February","Rainfall",1.52,"in",1907
4,"United Province Of Agra And Oudh","February","Rainfall",2.9,"in",1907
