"PROVINCE_STATE","YEAR","NATIVE","MONTH","CASES","POPULATION","INCIDENCE"
"Bengal",1898,"0","January",0,39104349.2667703,0
"North West Province",1898,"0","January",17,47068740.9,0.361173884725691
"Punjab",1898,"0","January",23,19742638.7640478,1.16499117847833
"Central Province",1898,"0","January",0,9080352.82295215,0
"Hyderabad",1898,"1","January",478,10908333.1538756,43.8197104229597
"Madras Presidency",1898,"0","January",0,35400945.0019474,0
"Bombay Presidency",1898,"0","January",6203,15340326.0963684,404.359070402582
"Rajputana Agency",1898,"1","January",71,10514731.5017799,6.75243109992693
"Mysore",1898,"1","January",0,5387278.71892344,0
"Baluchistan Agency",1898,NA,"January",0,796157.583928571,0
"Central India Agency",1898,"1","January",0,6317518.42447368,0
"Tehri Garhwal",1898,"1","January",0,259749.989952153,0
"Cutch",1898,"1","January",0,498110.530191388,0
"Bengal",1899,"0","January",13,40241249.803445,0.323051596645169
"Assam",1899,"0","January",0,5615625.75938756,0
"North West Province",1899,"0","January",0,47149837.6,0
"Punjab",1899,"0","January",4,19835514.8852823,0.201658491001307
"Central Province",1899,"0","January",59,9041723.7227177,6.52530444518672
"Berar",1899,"0","January",0,2740155.04241148,0
"Burma",1899,"0","January",1,10030978.9262857,0.0996911674671699
"Madras Presidency",1899,"0","January",387,35672925.5477895,10.8485635550567
"Bombay Presidency",1899,"0","January",6933,15308298.4054737,452.891615799768
"Bombay Presidency",1899,"1","January",416,6534173.96007655,63.6652777446296
"Baluchistan Agency",1899,NA,"January",0,801020.389285714,0
"Ajmer Merwara",1899,"0","January",0,430388.627368421,0
"Rajputana Agency",1899,"1","January",2,10343192.6653014,0.193363893018203
"Central India Agency",1899,"1","January",0,5951050.99789474,0
"Coorg",1899,"0","January",0,179949.638086124,0
"Mysore",1899,"1","January",3272,5441713.52114833,601.281193374827
"Hyderabad",1899,"1","January",399,10936695.451866,36.4826836182883
"Bengal",1900,"0","January",2046,41261063.3395455,49.5867007392189
"Assam",1900,"0","January",0,5667391.51963636,0
"North West Province",1900,"0","January",16,47230934.3,0.338761031030462
"Punjab",1900,"0","January",44,19903254.3256364,2.21069375289677
"Punjab",1900,"1","January",0,4033211.89090909,0
"Central Province",1900,"0","January",206,9042977.33536364,22.7801079622761
"Berar",1900,"0","January",1,2743095.90018182,0.364551600231591
"Burma",1900,"0","January",1,10269620.4437321,0.0973745821940609
"Madras Presidency",1900,"0","January",250,35958367.969,6.95248461263668
"Bombay Presidency",1900,"0","January",3695,15300322.547,241.498176829252
"Bombay Presidency",1900,"1","January",554,6473467.28254545,85.5801034931871
"Baluchistan Agency",1900,NA,"January",0,805883.194642857,0
"Ajmer Merwara",1900,"0","January",1,427605.11,2.33860629027562
"Rajputana Agency",1900,"1","January",3,10217398.1512727,0.29361682451675
"Central India Agency",1900,"1","January",0,5657020.005,0
"Coorg",1900,"0","January",0,180358.291363636,0
"Mysore",1900,"1","January",592,5492569.40318182,107.781978987295
"Hyderabad",1900,"1","January",280,11012328.7745455,25.4260479987854
"Calcutta City",1900,"0","January",263,907260.281727273,289.883736009353
"Bombay City",1900,"0","January",1718,770049.712818182,2231.02479151971
"Madras City",1900,"0","January",0,527566.889909091,0
"Bengal",1901,"0","January",9238,42149154,219.17403134592
"Assam",1901,"0","January",0,5726337,0
"United Province Of Agra And Oudh",1901,"0","January",31,47312031,0.655224460771933
"Punjab",1901,"0","January",101,19942715,5.06450601134299
"North West Frontier Province",1901,"0","January",0,2041534,0
"Punjab",1901,"1","January",0,4031494,0
"Jammu And Kashmir",1901,"1","January",0,2905578,0
"Central Province",1901,"0","January",0,9089099,0
"Berar",1901,"0","January",0,2754016,0
"Burma",1901,"0","January",0,10490624,0
"Madras Presidency",1901,"0","January",166,36258955,4.5781793766533
"Bombay Presidency",1901,"0","January",2587,15319405,168.870788388975
"Bombay Presidency",1901,"1","January",420,6439192,65.2255748857931
"Baluchistan Agency",1901,NA,"January",0,810746,0
"Ajmer Merwara",1901,"0","January",0,426127,0
"Rajputana Agency",1901,"1","January",1,10143066,0.0985895191848303
"Central India Agency",1901,"1","January",0,5444480,0
"Coorg",1901,"0","January",0,180607,0
"Mysore",1901,"1","January",1146,5539399,206.881649074205
"Bangalore Civil And Military Station",1901,"1","January",378,89599,4218.79708478889
"Hyderabad",1901,"1","January",25,11141142,2.24393513699044
"Calcutta City",1901,"0","January",204,921380,221.407019904925
"Bombay City",1901,"0","January",1606,776006,2069.5716270235
"Madras City",1901,"0","January",1,509346,1.96330195976802
"Bengal",1902,"0","January",2950,42895811.5558086,68.771283092802
"Assam",1902,"0","January",0,5792953.04747847,0
"United Province Of Agra And Oudh",1902,"0","January",3847,47342750.5700718,81.2584810488793
"Punjab",1902,"0","January",12009,19952243.1393732,601.887212185269
"North West Frontier Province",1902,"0","January",0,2059853.53531579,0
"Punjab",1902,"1","January",1430,4022440.41585646,355.505576754584
"Jammu And Kashmir",1902,"1","January",1328,2937161.29520574,452.137239506616
"Central Province",1902,"0","January",4,9182661.05362679,0.435603576854245
"Berar",1902,"0","January",0,2773361.96286603,0
"Burma",1902,"0","January",0,10692845.6170893,0
"Madras Presidency",1902,"0","January",2417,36575030.5057895,66.0833351763688
"Bombay Presidency",1902,"0","January",16753,15367029.0474737,1090.19121056156
"Bombay Presidency",1902,"1","January",3777,6432995.77444019,587.129252440506
"Baluchistan Agency",1902,NA,"January",0,815584.134303571,0
"Ajmer Merwara",1902,"0","January",0,426033.521368421,0
"Rajputana Agency",1902,"1","January",2,10123250.0604833,0.19756501005612
"Central India Agency",1902,"1","January",0,5318807.24989474,0
"Coorg",1902,"0","January",0,180682.580995215,0
"Mysore",1902,"1","January",2541,5581873.31060287,455.223517017723
"Bangalore Civil And Military Station",1902,"1","January",473,89748.3465454546,5270.29208009354
"Hyderabad",1902,"1","January",418,11325764.5602297,36.9070006512234
"Calcutta City",1902,"0","January",225,934279.598148325,240.827264606798
"Bombay City",1902,"0","January",1297,785537.406449761,1651.0989665811
"Madras City",1902,"0","January",0,483229.062435407,0
"Bengal",1903,"0","January",9763,43511028.3622584,224.379895568464
"Assam",1903,"0","January",0,5866502.91035407,0
"United Province Of Agra And Oudh",1903,"0","January",10214,47359027.9921531,215.671656134758
"Punjab",1903,"0","January",8906,19936138.2391962,446.726436842719
"North West Frontier Province",1903,"0","January",0,2077994.26147368,0
"Punjab",1903,"1","January",898,4007154.06369378,224.099195021273
"Jammu And Kashmir",1903,"1","January",0,2967494.09217225,0
"Central Province And Berar",1903,"0","January",4310,12116427.3552919,355.715416237575
"Burma",1903,"0","January",0,10878404.4988571,0
"Madras Presidency",1903,"0","January",3089,36901582.8736842,83.7091463142323
"Madras Presidency",1903,"1","January",NA,430333.693090909,NA
"Bombay Presidency",1903,"0","January",38310,15438585.1882105,2481.44499855175
"Bombay Presidency",1903,"1","January",7146,6451369.62920574,1107.67176750339
"Baluchistan Agency",1903,NA,"January",0,820274.242285714,0
"Ajmer Merwara",1903,"0","January",0,427140.613052632,0
"Rajputana Agency",1903,"1","January",10,10150347.4164976,0.985187953640559
"Central India Agency",1903,"1","January",239,5270664.87284211,45.3453227943752
"Coorg",1903,"0","January",0,180590.205856459,0
"Mysore",1903,"1","January",3428,5620136.79008612,609.949566716413
"Bangalore Civil And Military Station",1903,"1","January",260,90184.7723636364,2882.9700756093
"Hyderabad",1903,"1","January",2433,11555708.10289,210.545297470046
"Calcutta City",1903,"0","January",245,946036.570449761,258.975189387788
"Bombay City",1903,"0","January",1693,798411.729492823,2120.45982976158
"Madras City",1903,"0","January",1,450833.411062201,2.21811422015932
"Bengal",1904,"0","January",8385,44009722.4207081,190.526082392525
"Assam",1904,"0","January",0,5945942.93722966,0
"United Province Of Agra And Oudh",1904,"0","January",18710,47359503.8742345,395.063260157567
"Punjab",1904,"0","January",12340,19900188.1110191,620.094640872621
"North West Frontier Province",1904,"0","January",0,2095791.59563158,0
"Punjab",1904,"1","January",1039,3987112.6635311,260.589576387799
"Jammu And Kashmir",1904,"1","January",94,2996517.95313876,31.3697436391255
"Central Province And Berar",1904,"0","January",9025,12313048.4245407,732.962276182768
"Central Province And Berar",1904,"1","January",26,1127868.04416268,23.0523421020428
"Lower Burma",1904,"0","January",0,5847927.114625,0
"Upper Burma",1904,"0","January",0,5202308.53,0
